AgentType, Agent, DistanceTravelled, BurgleCnt, CaughtCnt, Jurisdiction
1,Agent 0,800.0,0,0,0
1,Agent 1,800.0,0,0,0
1,Agent 2,800.0,0,0,0
1,Agent 3,800.0,0,0,0
1,Agent 4,800.0,0,0,0
1,Agent 5,800.0,0,0,0
1,Agent 6,657.9861941212289,0,0,0
1,Agent 7,800.0,0,0,0
1,Agent 8,800.0,0,0,0
1,Agent 9,800.0,0,0,0
1,Agent 10,800.0,0,0,0
1,Agent 11,800.0,0,0,0
1,Agent 12,800.0,0,0,0
1,Agent 13,800.0,0,0,0
1,Agent 14,800.0,0,0,0
1,Agent 15,800.0,0,0,0
1,Agent 16,800.0,0,0,0
1,Agent 17,800.0,0,0,0
1,Agent 18,800.0,0,0,0
1,Agent 19,800.0,0,0,0
1,Agent 20,800.0,0,0,0
1,Agent 21,800.0,0,0,0
1,Agent 22,800.0,0,0,0
1,Agent 23,800.0,0,0,0
1,Agent 24,800.0,0,0,0
1,Agent 25,800.0,0,0,0
1,Agent 26,800.0,0,0,0
1,Agent 27,800.0,0,0,0
1,Agent 28,793.9707078915033,0,0,0
1,Agent 29,800.0,0,0,0
1,Agent 30,800.0,0,0,0
1,Agent 31,800.0,0,0,0
1,Agent 32,800.0,0,0,0
1,Agent 33,800.0,0,0,0
1,Agent 34,800.0,0,0,0
1,Agent 35,800.0,0,0,0
1,Agent 36,800.0,0,0,0
1,Agent 37,688.49913472643,0,0,0
1,Agent 38,800.0,0,0,0
1,Agent 39,800.0,0,0,0
1,Agent 40,800.0,0,0,0
1,Agent 41,800.0,0,0,0
1,Agent 42,800.0,0,0,0
1,Agent 43,800.0,0,0,0
1,Agent 44,800.0,0,0,0
1,Agent 45,800.0,0,0,0
1,Agent 46,800.0,0,0,0
1,Agent 47,800.0,0,0,0
1,Agent 48,800.0,0,0,0
1,Agent 49,800.0,0,0,0
2,Agent 0,850.0,0,0,1
2,Agent 1,850.0,0,0,2
2,Agent 2,850.0,0,0,3
2,Agent 3,850.0,0,0,1
2,Agent 4,850.0,0,0,2
2,Agent 5,850.0,0,0,3
2,Agent 6,850.0,0,0,1
2,Agent 7,850.0,0,0,2
2,Agent 8,850.0,0,0,3
2,Agent 9,850.0,0,0,1
2,Agent 10,850.0,0,0,2
2,Agent 11,850.0,0,0,3
2,Agent 12,850.0,0,0,1
2,Agent 13,850.0,0,0,2
2,Agent 14,850.0,0,0,3
2,Agent 15,850.0,0,0,1
2,Agent 16,850.0,0,0,2
2,Agent 17,850.0,0,0,3
