FID_,ROADID,ROADCAT_CD,L_ADD_FROM,L_ADD_TO,R_ADD_FROM,R_ADD_TO,PRE_DIR,STR_NAME,STR_TYPE,SUF_DIR,FINT,TINT,Shape_Leng,ADD_MIN,ADD_MAX,STREET,STNAMETYPE,TRAVDIR_CD,STRLVL_CD,ROADCAT_DS,PC_UID,ID,IDENTIFIER,access,"""",","
,2511,LRD_MJ,1,49,2,48,S,STONE,AV, ,1709,40226,313.8048809,1,49,S STONE AV,STONE AV,W,0,Major local road,8512,8512,road8512,car walk,"""road8512"",",
,2087,LRD_MJ,101,199,100,198,W,CONGRESS,ST, ,1710,34177,433.0849348,100,199,W CONGRESS ST,CONGRESS ST,W,0,Major local road,26827,26827,road26827,car walk,"""road26827"",",
,31397,LRD_MJ,235,299,234,298,E,BROADWAY,BL, ,86640,7245,232.4611407,234,299,E BROADWAY BL,BROADWAY BL,W,0,Major local road,27592,27592,road27592,car walk,"""road27592"",",
,51977,LRD_MJ,1,99,2,98,S,GRANADA,AV, ,14007,14008,396.5499598,1,99,S GRANADA AV,GRANADA AV,B,0,Major local road,28112,28112,road28112,car walk,"""road28112"",",
,48605,FRNT_RD,101,121,0,0,S,FREEWAY, , ,13847,192385,1087.316638,0,121,S FREEWAY,FREEWAY,A,0,Frontage road,48896,48896,road48896,car walk,"""road48896"",",
,68746,RMP_INT,0,0,0,0,W,I10 EXIT 258 OFF RAMP, , ,31882,13847,1067.137157,0,0,W I10 EXIT 258 OFF RAMP,I10 EXIT 258 OFF RAMP,W,0,Interstate ramp,53765,53765,road53765,car walk,"""road53765"",",
,42198,LRD_MJ,1,99,2,98,S,CHURCH,AV, ,1710,26010,267.8866384,1,99,S CHURCH AV,CHURCH AV,B,0,Major local road,54175,54175,road54175,car walk,"""road54175"",",
,119167,LRD_MN,1,99,2,98,S,ARIZONA,AV, ,66393,65738,317.5564396,1,99,S ARIZONA AV,ARIZONA AV,B,0,Minor local road,54179,54179,road54179,car walk,"""road54179"",",
,119166,LRD_MJ,257,299,258,298,E,CONGRESS,ST, ,66393,15553,237.8139157,257,299,E CONGRESS ST,CONGRESS ST,A,0,Major local road,54180,54180,road54180,car walk,"""road54180"",",
,40709,LRD_MN,1,99,2,98,S,5TH,AV, ,15553,37282,323.0233962,1,99,S 5TH AV,5TH AV,B,0,Minor local road,54182,54182,road54182,car walk,"""road54182"",",
,38343,LRD_MJ,101,599,100,598,S,GRANADA,AV, ,14008,235366,1241.308505,100,599,S GRANADA AV,GRANADA AV,B,0,Major local road,54553,54553,road54553,car walk,"""road54553"",",
,10578,LRD_MJ,201,299,0,0,W,CONGRESS,ST, ,19990,19991,408.4859936,0,299,W CONGRESS ST,CONGRESS ST,A,0,Major local road,55323,55323,road55323,car walk,"""road55323"",",
,135919,LRD_MJ,301,399,300,398,E,CONGRESS,ST, ,15553,86308,244.3909074,300,399,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55331,55331,road55331,car walk,"""road55331"",",
,25648,LRD_MJ,101,125,100,124,E,BROADWAY,BL, ,15673,65738,239.6803479,100,125,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55335,55335,road55335,car walk,"""road55335"",",
,54529,LRD_MJ,127,199,126,198,E,BROADWAY,BL, ,65738,37282,234.0980022,126,199,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55336,55336,road55336,car walk,"""road55336"",",
,135920,LRD_MJ,0,0,0,0,E,CONGRESS,ST, ,86308,86646,47.41348206,0,0,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55339,55339,road55339,car walk,"""road55339"",",
,41969,LRD_MJ,1,99,2,98,W,BROADWAY,BL, ,40226,26010,401.144043,1,99,W BROADWAY BL,BROADWAY BL,A,0,Major local road,55348,55348,road55348,car walk,"""road55348"",",
,14823,LRD_MJ,1,59,2,60,E,BROADWAY,BL, ,40226,18645,431.6374726,1,60,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55375,55375,road55375,car walk,"""road55375"",",
,10008,LRD_MJ,601,649,600,648,W,CUSHING,ST, ,32912,192385,177.6760391,600,649,W CUSHING ST,CUSHING ST,B,0,Major local road,55389,55389,road55389,car walk,"""road55389"",",
,38877,LRD_MJ,651,723,650,722,W,CUSHING,ST, ,192385,192386,363.5697959,650,723,W CUSHING ST,CUSHING ST,B,0,Major local road,55390,55390,road55390,car walk,"""road55390"",",
,30125,LRD_MJ,301,399,300,398,E,BROADWAY,BL, ,7245,3682,418.6999878,300,399,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55395,55395,road55395,car walk,"""road55395"",",
,18189,LRD_MJ,101,199,100,198,W,BROADWAY,BL, ,26010,19990,434.8455005,100,199,W BROADWAY BL,BROADWAY BL,A,0,Major local road,55399,55399,road55399,car walk,"""road55399"",",
,44330,LRD_MJ,201,233,200,232,E,BROADWAY,BL, ,37282,86640,245.0577243,200,233,E BROADWAY BL,BROADWAY BL,W,0,Major local road,55401,55401,road55401,car walk,"""road55401"",",
,135918,LRD_MN,1,99,2,98,S,HERBERT,AV, ,235602,86640,298.2521108,1,99,S HERBERT AV,HERBERT AV,B,0,Minor local road,55402,55402,road55402,car walk,"""road55402"",",
,14880,LRD_MJ,517,649,516,648,E,TOOLE,AV, ,3681,3682,318.4578176,516,649,E TOOLE AV,TOOLE AV,A,0,Major local road,55403,55403,road55403,car walk,"""road55403"",",
,21,LRD_MJ,301,399,300,398,W,CONGRESS,ST, ,19991,14007,315.0843804,300,399,W CONGRESS ST,CONGRESS ST,B,0,Major local road,55405,55405,road55405,car walk,"""road55405"",",
,113712,LRD_MJ,0,0,200,298,W,CONGRESS,ST, ,34177,19991,415.6253762,0,298,W CONGRESS ST,CONGRESS ST,W,0,Major local road,55406,55406,road55406,car walk,"""road55406"",",
,14641,LRD_MJ,75,199,74,198,E,CONGRESS,ST, ,44175,66359,369.6693425,74,199,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55407,55407,road55407,car walk,"""road55407"",",
,28549,LRD_MN,1,99,2,98,S,SCOTT,AV, ,44175,18645,291.7552452,1,99,S SCOTT AV,SCOTT AV,B,0,Minor local road,55408,55408,road55408,car walk,"""road55408"",",
,119165,LRD_MJ,201,255,200,256,E,CONGRESS,ST, ,66359,66393,236.3288036,200,256,E CONGRESS ST,CONGRESS ST,A,0,Major local road,55409,55409,road55409,car walk,"""road55409"",",
,1879,LRD_MJ,1,99,2,98,S,6TH,AV, ,66359,15673,302.5424512,1,99,S 6TH AV,6TH AV,A,0,Major local road,55410,55410,road55410,car walk,"""road55410"",",
