22:0.5554:0.3267:0.1640:0.4172:0.7495:Creating Action
22:0.5554:0.3267:0.3280:0.4172:0.7495:Traveling to burgle
22:0.5504:0.3242:0.4920:0.4247:0.7528:Traveling to burgle
22:0.5454:0.3217:0.6560:0.4321:0.7561:Traveling to burgle
22:0.5404:0.3192:0.8200:0.4395:0.7594:Traveling to burgle
22:0.5354:0.3167:0.9840:0.4470:0.7626:Traveling to burgle
22:0.5304:0.3142:1.0000:0.4545:0.7658:Traveling to burgle
22:0.5254:0.3117:1.0000:0.4619:0.7691:Traveling to burgle
22:0.5204:0.3092:1.0000:0.4694:0.7723:Traveling to burgle
22:0.5154:0.3067:1.0000:0.4769:0.7755:Traveling to burgle
22:0.5104:0.3042:1.0000:0.4844:0.7787:Traveling to burgle
22:0.5054:0.3017:1.0000:0.4919:0.7818:Traveling to burgle
22:0.5004:0.2992:1.0000:0.4994:0.7850:Traveling to burgle
22:0.4954:0.2967:1.0000:0.5069:0.7881:Traveling to burgle
22:0.4904:0.2942:1.0000:0.5144:0.7912:Traveling to burgle
22:0.4854:0.2917:1.0000:0.5219:0.7943:Traveling to burgle
22:0.4804:0.2892:1.0000:0.5294:0.7974:Traveling to burgle
22:0.4754:0.2867:1.0000:0.5369:0.8005:Traveling to burgle
22:0.4704:0.2842:1.0000:0.5444:0.8036:Traveling to burgle
22:0.4654:0.2817:1.0000:0.5518:0.8066:Traveling to burgle
22:0.4604:0.2792:1.0000:0.5593:0.8096:Traveling to burgle
22:0.4554:0.2767:1.0000:0.5667:0.8127:Traveling to burgle
22:0.4504:0.2742:1.0000:0.5742:0.8156:Traveling to burgle
22:0.4454:0.2717:1.0000:0.5816:0.8186:Traveling to burgle
22:0.4404:0.2692:1.0000:0.5890:0.8216:Traveling to burgle
22:0.4354:0.2667:1.0000:0.5964:0.8245:Traveling to burgle
22:0.4304:0.2642:1.0000:0.6037:0.8275:Traveling to burgle
22:0.4254:0.2617:1.0000:0.6111:0.8304:Traveling to burgle
22:0.4204:0.2592:1.0000:0.6184:0.8332:Traveling to burgle
22:0.4154:0.2567:1.0000:0.6257:0.8361:Traveling to burgle
22:0.4104:0.2542:1.0000:0.6330:0.8390:Traveling to burgle
22:0.4054:0.2517:1.0000:0.6402:0.8418:Traveling to burgle
22:0.4004:0.2492:1.0000:0.6474:0.8446:Traveling to burgle
22:0.3954:0.2467:1.0000:0.6546:0.8474:Traveling to burgle
22:0.3904:0.2442:1.0000:0.6618:0.8502:Traveling to burgle
22:0.3854:0.2417:1.0000:0.6689:0.8530:Traveling to burgle
22:0.3804:0.2392:1.0000:0.6760:0.8557:Traveling to burgle
22:0.3754:0.2367:1.0000:0.6830:0.8584:Traveling to burgle
22:0.3704:0.2342:1.0000:0.6901:0.8611:Traveling to burgle
22:0.3654:0.2317:1.0000:0.6970:0.8638:Traveling to burgle
22:0.3604:0.2292:1.0000:0.7040:0.8665:Traveling to burgle
22:0.3554:0.2267:1.0000:0.7109:0.8691:Traveling to burgle
22:0.3504:0.2242:1.0000:0.7177:0.8717:Traveling to burgle
22:0.3454:0.2217:1.0000:0.7245:0.8743:Traveling to burgle
22:0.3404:0.2192:1.0000:0.7313:0.8769:Traveling to burgle
22:0.3354:0.2167:1.0000:0.7380:0.8795:Traveling to burgle
22:0.3304:0.2142:1.0000:0.7446:0.8820:Traveling to burgle
22:0.3254:0.2117:1.0000:0.7513:0.8845:Traveling to burgle
22:0.3204:0.2092:1.0000:0.7578:0.8870:Traveling to burgle
22:0.3154:0.2067:1.0000:0.7643:0.8895:Traveling to burgle
22:0.3104:0.2042:1.0000:0.7708:0.8919:Traveling to burgle
22:0.3054:0.2017:1.0000:0.7772:0.8943:Traveling to burgle
22:0.3004:0.1992:1.0000:0.7835:0.8967:Traveling to burgle
22:0.2954:0.1967:1.0000:0.7898:0.8991:Traveling to burgle
22:0.2904:0.1942:1.0000:0.7960:0.9015:Traveling to burgle
22:0.2854:0.1917:1.0000:0.8021:0.9038:Traveling to burgle
22:0.2804:0.1892:1.0000:0.8082:0.9061:Traveling to burgle
22:0.2754:0.1867:1.0000:0.8142:0.9084:Traveling to burgle
22:0.2704:0.1842:1.0000:0.8202:0.9107:Traveling to burgle
22:0.2654:0.1817:1.0000:0.8261:0.9129:Traveling to burgle
22:0.2604:0.1792:1.0000:0.8319:0.9152:Traveling to burgle
22:0.2554:0.1767:1.0000:0.8376:0.9173:Traveling to burgle
22:0.2504:0.1742:1.0000:0.8433:0.9195:Traveling to burgle
22:0.2454:0.1717:1.0000:0.8489:0.9217:Traveling to burgle
22:0.2404:0.1692:1.0000:0.8544:0.9238:Traveling to burgle
