AgentType, Agent, DistanceTravelled, BurgleCnt, CaughtCnt, Jurisdiction
1,Agent 0,649498.0835757889,12,1,0
1,Agent 1,675972.8028374709,5,0,0
1,Agent 2,673470.7862730989,6,0,0
1,Agent 3,736183.6836140098,2,0,0
1,Agent 4,683659.5247786852,3,2,0
1,Agent 5,761983.9075385911,7,2,0
1,Agent 6,756586.2563251,2,1,0
1,Agent 7,672850.9882761138,4,1,0
1,Agent 8,646481.5543159297,7,1,0
1,Agent 9,779353.723107357,1,0,0
1,Agent 10,766794.728242443,3,0,0
1,Agent 11,729034.4459983171,8,3,0
1,Agent 12,703227.1980556282,8,0,0
1,Agent 13,741450.3995195393,4,2,0
1,Agent 14,728868.6585394475,1,2,0
1,Agent 15,735269.0990152695,4,2,0
1,Agent 16,721172.2972656449,8,1,0
1,Agent 17,751260.571772654,4,1,0
1,Agent 18,777859.1915552702,3,0,0
1,Agent 19,735024.9023039036,4,0,0
1,Agent 20,671842.8973754056,6,3,0
1,Agent 21,706624.9421188153,8,0,0
1,Agent 22,778139.2398272294,4,0,0
1,Agent 23,674260.2595019075,11,1,0
1,Agent 24,659449.1373324634,8,0,0
1,Agent 25,729586.6523927634,3,1,0
1,Agent 26,754322.3744942695,3,1,0
1,Agent 27,696605.0963445967,10,0,0
1,Agent 28,679284.0435491704,6,2,0
1,Agent 29,777279.3318237006,3,1,0
1,Agent 30,711228.2456857383,8,1,0
1,Agent 31,670754.2663818025,3,0,0
1,Agent 32,650730.0960755912,8,0,0
1,Agent 33,741556.8143166669,6,2,0
1,Agent 34,698314.426320509,6,3,0
1,Agent 35,772394.0140267523,4,2,0
1,Agent 36,648939.2354307475,8,0,0
1,Agent 37,651651.0769544633,13,0,0
1,Agent 38,782470.6793756043,3,0,0
1,Agent 39,784635.047435422,3,1,0
1,Agent 40,745774.9687301678,4,0,0
1,Agent 41,735120.161072564,9,2,0
1,Agent 42,778242.0966795408,0,0,0
1,Agent 43,690810.6635284132,14,3,0
1,Agent 44,659328.7501072219,14,2,0
1,Agent 45,744672.5943901108,5,0,0
1,Agent 46,679326.4886060647,4,1,0
1,Agent 47,696060.1615206259,14,0,0
1,Agent 48,653717.3809132598,10,1,0
1,Agent 49,783159.462124866,2,0,0
2,Agent 0,888124.6613142877,0,9,1
2,Agent 1,867952.4307392264,0,5,2
2,Agent 2,859799.240425728,0,0,3
2,Agent 3,888444.6436070367,0,0,1
2,Agent 4,868617.8639104066,0,2,2
2,Agent 5,857896.9655671172,0,1,3
2,Agent 6,888036.7348125894,0,0,1
2,Agent 7,866773.9128859247,0,3,2
2,Agent 8,858036.8898658116,0,1,3
2,Agent 9,887395.9764286901,0,2,1
2,Agent 10,868642.7850027948,0,3,2
2,Agent 11,858754.7730525272,0,3,3
2,Agent 12,887461.1579423768,0,2,1
2,Agent 13,867336.2954850713,0,2,2
2,Agent 14,855510.7594403634,0,2,3
2,Agent 15,887858.5026917133,0,1,1
2,Agent 16,868343.7177879475,0,3,2
2,Agent 17,855811.0560603469,0,3,3
