AgentType, Agent, DistanceTravelled, BurgleCnt, CaughtCnt, Jurisdiction
1,Agent 0,691824.7959302213,8,2,0
1,Agent 1,706982.9882040108,7,1,0
1,Agent 2,716709.770539352,4,1,0
1,Agent 3,589139.2517691767,36,3,0
1,Agent 4,688773.2289106355,6,2,0
1,Agent 5,748160.09685092,4,0,0
1,Agent 6,694429.0074228573,3,1,0
1,Agent 7,744597.2707174732,5,1,0
1,Agent 8,704370.481517528,5,0,0
1,Agent 9,715629.6771311798,7,0,0
1,Agent 10,701733.8799556488,10,3,0
1,Agent 11,649821.8109791992,8,6,0
1,Agent 12,691825.3757697383,5,1,0
1,Agent 13,595627.5132223535,12,2,0
1,Agent 14,635919.2819314293,11,1,0
1,Agent 15,647080.7004943375,6,3,0
1,Agent 16,705699.6369177277,2,0,0
1,Agent 17,703645.7378626831,4,2,0
1,Agent 18,661479.6111618042,6,0,0
1,Agent 19,658826.6673248655,11,2,0
1,Agent 20,675674.5153665739,14,5,0
1,Agent 21,644425.2086157122,12,2,0
1,Agent 22,702703.9761711917,4,0,0
1,Agent 23,652575.9286839188,9,1,0
1,Agent 24,675308.6930355383,14,4,0
1,Agent 25,692511.9757173881,9,1,0
1,Agent 26,712544.7047757017,9,1,0
1,Agent 27,647249.0391536442,16,3,0
1,Agent 28,684169.9575016397,5,1,0
1,Agent 29,684337.6203398439,7,1,0
1,Agent 30,719220.7559497664,9,2,0
1,Agent 31,665538.8416847921,7,1,0
1,Agent 32,668311.2823205203,5,0,0
1,Agent 33,655196.144246016,12,3,0
1,Agent 34,725062.9607920755,3,0,0
1,Agent 35,727225.0605414559,6,3,0
1,Agent 36,691145.2193019927,7,3,0
1,Agent 37,645180.9425859685,11,2,0
1,Agent 38,719175.1917592721,7,0,0
1,Agent 39,717451.9124420219,9,3,0
1,Agent 40,641823.9979863005,10,2,0
1,Agent 41,676478.5590406515,7,0,0
1,Agent 42,694359.1487787938,7,3,0
1,Agent 43,687583.1934190744,7,0,0
1,Agent 44,717736.2191846777,4,2,0
1,Agent 45,683725.3233891431,5,3,0
1,Agent 46,673086.7959517654,14,2,0
1,Agent 47,673873.3017411464,3,3,0
1,Agent 48,630188.3685141227,17,1,0
1,Agent 49,658485.9433871616,9,1,0
2,Agent 0,868488.0993296586,0,9,1
2,Agent 1,869750.1802124699,0,3,2
2,Agent 2,856989.4969313605,0,6,3
2,Agent 3,868742.8136708497,0,4,1
2,Agent 4,868764.1451178933,0,4,2
2,Agent 5,855984.6883891735,0,3,3
2,Agent 6,868544.8195292695,0,2,1
2,Agent 7,869448.55914427,0,6,2
2,Agent 8,856075.8853763747,0,3,3
2,Agent 9,869218.0666196174,0,1,1
2,Agent 10,869124.4508180581,0,5,2
2,Agent 11,856095.8889436504,0,3,3
2,Agent 12,869766.9623894265,0,2,1
2,Agent 13,869099.2385281184,0,6,2
2,Agent 14,856003.241411053,0,5,3
2,Agent 15,869094.1452648203,0,3,1
2,Agent 16,870863.3483122977,0,4,2
2,Agent 17,857577.1015645514,0,4,3
