AgentType, Agent, DistanceTravelled, BurgleCnt, CaughtCnt, Jurisdiction
1,Agent 0,675856.3952942628,4,0,0
1,Agent 1,700552.3355091439,5,1,0
1,Agent 2,725752.402371412,4,1,0
1,Agent 3,730117.5465383318,2,0,0
1,Agent 4,651264.0008157551,5,0,0
1,Agent 5,683972.5593785818,9,2,0
1,Agent 6,724086.4886868964,1,0,0
1,Agent 7,630500.6820156486,10,0,0
1,Agent 8,674703.2916702365,6,0,0
1,Agent 9,700324.395196642,4,1,0
1,Agent 10,696466.3259689072,6,0,0
1,Agent 11,683861.361233019,8,0,0
1,Agent 12,717764.1609552086,1,1,0
1,Agent 13,710537.9020757677,2,0,0
1,Agent 14,681773.5110523375,4,0,0
1,Agent 15,762425.5480673928,5,1,0
1,Agent 16,640705.1697231681,8,0,0
1,Agent 17,621295.3816328517,7,0,0
1,Agent 18,713778.5988758908,7,0,0
1,Agent 19,651984.9574300069,10,0,0
1,Agent 20,693581.6983451061,3,0,0
1,Agent 21,624827.4434842491,6,1,0
1,Agent 22,626167.2250877309,8,0,0
1,Agent 23,676137.5799294591,4,0,0
1,Agent 24,696599.0052255888,5,0,0
1,Agent 25,488379.19514073204,14,1,0
1,Agent 26,658162.9710787376,4,0,0
1,Agent 27,700718.5712855471,2,0,0
1,Agent 28,539301.2524372122,12,0,0
1,Agent 29,738646.870736413,5,0,0
1,Agent 30,560572.3238846596,9,0,0
1,Agent 31,721282.3771863487,3,0,0
1,Agent 32,710684.1258448232,4,0,0
1,Agent 33,651722.8266654549,9,1,0
1,Agent 34,673039.0324010402,2,1,0
1,Agent 35,681547.8709936016,4,0,0
1,Agent 36,201900.37669812015,33,0,0
1,Agent 37,588311.2456833685,8,1,0
1,Agent 38,674931.1244504898,4,0,0
1,Agent 39,680064.8706340634,3,0,0
1,Agent 40,710985.4839749667,5,1,0
1,Agent 41,694450.9780714186,6,0,0
1,Agent 42,650197.1331912878,6,1,0
1,Agent 43,737984.4925830488,6,3,0
1,Agent 44,633584.4524388089,7,0,0
1,Agent 45,511323.84179549647,9,0,0
1,Agent 46,658394.2985810413,4,0,0
1,Agent 47,723535.8713794516,2,0,0
1,Agent 48,676551.4068722988,1,0,0
1,Agent 49,645394.7044351823,7,0,0
2,Agent 0,870362.9652319375,0,0,1
2,Agent 1,868577.383672617,0,2,2
2,Agent 2,859033.7396868943,0,0,3
2,Agent 3,871348.8108246421,0,0,1
2,Agent 4,868012.050398483,0,1,2
2,Agent 5,856957.2559828068,0,0,3
2,Agent 6,872270.813572996,0,1,1
2,Agent 7,868522.089565495,0,1,2
2,Agent 8,857400.733837214,0,0,3
2,Agent 9,870521.5409000267,0,0,1
2,Agent 10,868951.7834836872,0,0,2
2,Agent 11,856993.7769117159,0,1,3
2,Agent 12,871754.9768566721,0,1,1
2,Agent 13,868236.0420628234,0,0,2
2,Agent 14,857985.1603886845,0,0,3
2,Agent 15,869967.0058170935,0,0,1
2,Agent 16,868441.3456335418,0,1,2
2,Agent 17,857073.5172557087,0,0,3
2,Agent 18,870510.3260556761,0,0,1
2,Agent 19,868645.335392592,0,1,2
